5	75	57
91	30	2
30	1	91
72	35	26
39	62	23
42	64	78
55	47	56
46	19	10
43	27	68
71	86	39
30	19	46
50	51	24
57	67	47
24	81	32
18	23	3
22	67	63
51	15	58
23	83	39
23	14	3
10	7	42
63	61	67
80	35	18
30	15	63
62	17	18
11	13	32
27	67	53
92	89	41
43	8	25
46	33	10
38	84	87
10	22	41
52	56	27
11	50	39
28	10	19
48	85	61
3	36	60
54	48	85
65	60	26
87	29	91
4	32	71
5	0	75
60	22	30
64	5	19
27	8	68
54	87	38
74	4	23
28	10	7
53	61	82
54	36	85
22	15	42
11	32	78
64	92	11
31	56	6
63	67	47
36	48	44
53	6	15
6	25	55
75	12	50
19	78	51
68	0	5
41	36	85
63	20	47
23	4	18
53	20	61
78	51	42
9	45	62
76	57	75
73	53	63
8	27	43
73	88	43
46	7	28
9	39	4
3	35	14
67	43	25
45	48	82
57	11	64
47	82	6
24	4	11
64	51	58
58	78	64
21	35	54
13	78	79
47	61	76
17	39	23
29	38	87
48	36	34
9	65	71
38	29	22
69	73	67
92	26	77
33	8	68
1	29	38
51	10	26
7	19	16
